Hãng sản xuất	HP
Chủng loại	HP 340S G7 (GREY)
Part Number	36A36PA
Mầu sắc	Xám
Bộ vi xử lý	Intel Core i7-1065G7
Chipset	Intel
Bộ nhớ trong	2 x 4GB DDR4/ 3200MHz (2 slots)
Số khe cắm	2
Dung lượng tối đa	 
VGA	Intel UHD Graphics
Ổ cứng	256GB SSD PCIe (M.2 2280)
Ổ quang	No
Card Reader	SD-card
Bảo mật, công nghệ	Fingerprint ; Administrator Password ; Power-on Password ; TPM ; Intel Software Guard Extensions (SGX)
Màn hình	14.0" inch FHD
Webcam	HP TrueVision HD Camera with integrated dual array digital microphone
Audio	Realtek High Definition Audio
Giao tiếp mạng	 
Giao tiếp không dây	Bluetooth 5.0, 802.11 ax
Cổng giao tiếp	1 x USB 3.1 Gen 1 Type-C ; 2 x USB 3.1 Gen 1 Type-A ; 1 x HDMI ; 1 x Headphone/Microphone combo jack
Pin	3 Cell Int (41.04Wh)
Kích thước (rộng x dài x cao)	
32.4 x 22.5 x 1.79 cm (W x D x H)	 	 
Cân nặng	1.351 kg
Hệ điều hành	Win
Phụ kiện đi kèm	Sách hướng dẫn, AC Adapter 45W
